序号,业务行为,对应UI组件,组件功能说明,,,,,,
1,输入基础信息,文本输入框、下拉选择框、日期选择器、单选按钮组、复选框组,支持用户输入文本（如姓名、手机号）、选择预设选项（如下拉选性别）、选择日期（如生日）、单选/多选指定内容,,,,,,
2,展示信息列表,列表容器、分页控件、排序按钮、筛选输入框/下拉框,按结构化形式展示多条同类信息（如数据列表），支持分页切换、按条件排序、筛选特定信息,,,,,,
3,触发操作确认,确认按钮、取消按钮、弹窗,触发关键操作前弹出提示，通过 “确认”“取消” 按钮选择是否执行，避免误操作,,,,,,
4,查看详情信息,详情面板、标签页、折叠面板、滚动容器,展示单条信息的完整细节，可通过标签页切换不同类别详情、折叠面板隐藏/展开内容、滚动查看长文本,,,,,,
5,上传文件/图片,文件上传框、图片预览区、格式提示文本、进度条,支持选择本地文件/图片上传，实时预览上传内容，提示支持的文件格式，显示上传进度,,,,,,
6,选择选项（单/多）,下拉选择器、单选列表、复选列表、开关控件,提供预设选项供用户单选（如选择所属部门）或多选（如选择兴趣标签），开关控件支持二选一状态切换,,,,,,
7,搜索目标信息,搜索输入框、搜索按钮、清空按钮、搜索结果提示文本,支持用户输入关键词，点击按钮触发搜索，清空按钮快速删除输入内容，无结果时显示提示,,,,,,
8,编辑已有信息,可编辑文本框、保存按钮、重置按钮、修改提示图标,允许用户修改已存在的信息，保存按钮提交修改，重置按钮恢复原始内容，提示图标标注可编辑项,,,,,,
9,选择日期/时间,日期选择器、时间选择器、日期时间组合选择器、快捷日期按钮,支持精准选择具体日期（如预约日期）、时间（如会议时间），快捷按钮简化常用日期选择操作,,,,,,
10,切换状态（启用/禁用等）,开关控件、状态标签、切换按钮组,快速切换目标对象的状态（如功能启用/禁用、订单待支付/已完成），状态标签同步显示当前状态,,,,,,
11,查看数据统计/图表,柱状图、折线图、饼图、数据仪表盘、数值卡片,以可视化图表形式展示统计数据（如销量趋势、占比分布），数值卡片突出关键指标,,,,,,
12,提示操作结果/异常信息,通知弹窗、Toast 提示框、警告图标、成功图标,操作成功时反馈结果（如“保存成功”），操作异常时提示错误原因（如“输入格式错误”），避免用户困惑,,,,,,
13,滚动查看长文本/内容,滚动条、回到顶部按钮、段落折叠/展开控件,针对长文本（如协议条款）或多内容列表，支持滚动浏览，回到顶部按钮快速返回页面顶部，折叠控件简化内容查看,,,,,,
14,数据报表页面查看多维度统计（支持导出与刷新）,表类型切换标签页、图表容器、数据时间范围选择器、导出报表按钮、刷新数据按钮,标签页切换不同维度报表，图表支持一键切换展示形式（如柱状图看明细、折线图看趋势），选择时间范围后实时更新数据，导出按钮触发文件下载，刷新按钮同步最新统计结果,,,,,,
15,用户修改个人信息（支持部分字段只读）,只读信息展示框、可编辑文本输入框、头像上传框、保存修改按钮、取消修改按钮,核心标识字段（用户ID）设为只读避免篡改，头像上传后支持裁剪（固定比例），点击 “取消” 恢复修改前状态，确保个人信息修改安全且操作友好,,,,,,
16,用户注册时提交身份信息（含格式校验）,带校验的文本输入框、密码强度指示器、验证码输入框 + 获取验证码按钮、同意协议复选框、注册提交按钮,支持手机号/邮箱格式实时校验，密码输入时动态显示强度（弱/中/强），点击 “获取验证码”触发倒计时，未勾选协议时提交按钮置灰，确保注册信息合规性,,,,,,
17,系统设置中配置全局参数（含数值范围校验）,参数名称下拉选择器、参数值输入框、数值范围提示文本、参数说明文本域、确认配置按钮,选择参数名称后，输入框自动匹配类型（数值型仅允许输入数字），实时校验值是否在规定范围（如 “超时时间” 需 1-100 秒），说明文本域记录参数作用，便于后续维护,,,,,,
18,后台系统查询数据时按多条件筛选（如订单查询）,多条件筛选区、筛选条件折叠/展开按钮、重置筛选按钮、查询结果列表,支持按时间（如 “近 7 天”“自定义日期”）、状态（如 “待支付”“已完成”）、关键词（如订单号）组合筛选，折叠按钮简化页面布局，重置按钮快速清空所有条件，列表分页展示筛选结果,,,,,,
19,系统管理员配置角色权限（多角色多权限关联）,角色下拉选择器、权限树形勾选列表、权限描述 tooltip、保存配置按钮、重置配置按钮,下拉选择目标角色后，树形列表展示全量权限项（如 “用户管理 - 查看”“订单管理 - 编辑”），勾选后实时关联角色与权限，tooltip 提示权限作用，避免配置错误,,,,,,
20,系统消息中心查看/标记消息（已读/未读/删除）,消息列表、消息类型筛选标签、已读/未读切换按钮、删除按钮、批量操作复选框,未读消息显示红点突出提示，标签页筛选不同类型消息，点击 “已读” 按钮批量标记选中消息，删除按钮需二次确认，支持批量删除已读消息，优化消息管理效率,,,,,,
21,预约系统选择服务时间（支持时段禁用）,日历选择器、时段选择列表、预约人信息输入框、确认预约按钮、预约规则提示文本,日历中灰色显示不可预约日期，时段列表中置灰已约满时段（不可点击），输入预约人信息后点击确认，提示文本明确预约取消规则，避免用户误解,,,,,,
22,问卷调查系统填写并提交问卷（含必答题校验）,问卷题目列表、必答题标识、上一题/下一题按钮、提交问卷按钮、答题进度条,进度条实时显示已答 / 总题数，必答题未答时切换题目或提交时提示 “请完成必答题”，单选 / 多选题支持点击选项选中，填空题支持多行输入，提交后显示感谢语及问卷提交成功页面,,,,,,
23,系统个性化设置（主题/语言/显示密度切换）,主题切换卡片、语言下拉选择器、显示密度滑块、保存设置按钮、预览效果区域,点击主题卡片实时切换界面主题，下拉选择语言后即时刷新页面文字，滑块调整界面元素间距，预览区域展示设置效果，保存后永久生效，适配不同用户使用习惯,,,,,,
