序号,核心动词,对应UI类型,UI 类型功能说明
1,输入、填写、录入、编辑,表单类 UI,提供可交互的输入控件，支持用户录入或修改信息，包含校验、提交等配套功能
2,展示、查看、显示、浏览,展示类 UI,以结构化、可视化形式呈现信息，不支持直接编辑，仅用于信息查阅
3,点击、触发、确认、提交、取消,操作类 UI,包含触发特定功能的交互控件，点击后执行预设动作（如提交表单、打开弹窗）
4,搜索、查询、筛选、过滤,交互类 UI,提供信息检索功能，支持用户通过关键词、条件筛选等方式定位目标信息
5,选择、勾选、切换、选中,选择类 UI,提供预设选项集合，支持用户单选或多选，反馈当前选择状态（如选中高亮）
6,上传、下载、导入、导出,传输类 UI,支持文件/数据在本地与系统间的传输，包含进度显示、格式校验、结果提示等功能
7,分页、排序、翻页、整理,控制类 UI,对展示的信息列表进行管理，支持调整显示顺序、切换页码、控制信息展示密度
8,折叠、展开、隐藏、显示,容器类 UI,控制信息面板的显示状态，通过折叠减少页面占用空间，展开查看完整内容
9,选择、指定、挑选（日期/时间）,时间选择类 UI,提供日期、时间或日期时间组合的选择控件，支持精准定位时间维度信息，适配不同时间选择场景
10,提示、通知、告知、提醒,反馈类 UI,向用户传递操作结果、系统通知或异常信息，包含弹窗、悬浮提示等形式，确保信息有效触达
11,统计、分析、查看（图表）,可视化类 UI,以图表（柱状图、折线图等）或仪表盘形式呈现数据，帮助用户直观理解数据规律与关键指标
12,切换、转换、更改（状态）,状态切换类 UI,支持快速变更目标对象的状态（如启用/禁用、显示/隐藏），同步反馈切换后的状态结果
13,滚动、浏览（长内容）、返回顶部,浏览控制类 UI,辅助用户浏览长文本或多内容页面，提供滚动控制、快速返回顶部等功能，优化长内容浏览体验
